age,monthly_income,account_balance,login_frequency,support_tickets,churn
42,67780.75,165186.74,8,2,1
54,52399.24,129763.12,11,4,1
32,18015.87,106776.33,9,3,0
58,76791.36,211823.87,11,5,0
46,88700.12,91325.91,7,1,1
41,89802.49,143478.82,5,1,0
44,67179.13,144834.5,12,2,0
47,60921.16,83426.53,10,2,0
19,86563.13,71530.66,10,3,0
25,93647.67,98768.88,7,1,0
30,82671.37,90466.99,13,2,0
23,41169.25,32512.17,12,4,1
40,64026.9,80910.3,15,2,1
52,68790.32,135973.38,6,0,0
52,23807.66,195956.62,16,1,1
42,69387.21,153263.48,11,1,0
62,105459.84,5000.0,9,3,1
47,72798.72,158478.22,13,4,0
22,89468.26,86510.89,12,3,0
57,63658.29,147184.8,19,2,0
47,58535.63,119151.88,21,2,1
51,67625.43,108438.74,16,5,1
47,43683.47,113865.86,13,0,0
46,40724.5,118654.54,8,1,1
22,85326.09,200664.3,9,2,0
47,87446.85,118820.39,16,1,0
59,40177.87,185132.17,15,2,1
33,79359.98,176394.35,11,1,1
49,58260.8,160022.73,13,0,0
19,66796.17,12802.87,14,4,1
36,69204.37,186997.96,16,1,0
40,79887.01,92525.92,14,1,0
69,61654.36,162943.64,15,0,1
29,88203.24,61648.03,12,1,0
32,66188.26,48895.56,8,3,1
39,72483.69,238583.32,11,2,0
69,43334.75,62581.02,8,1,0
62,103173.18,188766.4,14,3,1
19,69396.5,127105.22,10,0,0
30,74259.95,94792.8,7,2,1
60,27836.28,117310.27,7,1,0
21,43545.96,41934.33,5,2,1
62,84757.67,119174.74,16,4,1
32,65737.82,55035.58,19,4,1
65,21724.41,96273.37,13,3,1
33,80765.8,175517.97,12,3,0
40,49124.34,135251.44,18,2,0
52,88226.34,31069.77,8,1,0
24,58243.29,171089.29,13,0,1
46,64094.13,119574.01,7,1,0
44,83579.09,87468.88,15,2,0
58,42050.14,164800.58,12,3,1
69,40143.06,109967.59,18,2,0
52,56070.03,50060.32,9,2,1
39,76543.46,230868.58,15,2,0
39,33382.45,118962.75,8,1,1
39,26639.31,115116.89,9,0,0
60,76474.42,95693.69,15,4,1
34,47940.43,190797.94,16,4,1
26,52155.48,88507.29,11,4,1
35,22863.79,27301.21,2,7,1
19,46420.41,79279.34,9,4,0
23,59848.65,199606.48,8,5,1
22,78607.56,169927.93,13,3,1
58,44575.4,104699.06,10,1,1
55,93147.52,202395.31,12,5,0
54,46308.88,164876.53,7,1,1
42,46338.16,104004.64,10,0,1
55,90747.15,110045.41,20,2,1
26,64229.2,139759.06,18,3,0
64,48959.51,70086.78,8,2,1
44,56897.34,120270.3,9,4,0
66,87061.47,138510.8,6,0,0
25,89324.06,18782.03,15,2,1
43,43664.14,108640.78,10,1,1
54,59151.32,101816.63,12,1,1
43,61803.14,181684.08,16,1,0
41,40275.2,9330.18,11,5,1
26,58886.3,97109.64,9,1,1
37,60106.46,91094.72,11,1,0
30,82804.19,177604.26,17,2,0
33,84148.5,117387.21,17,3,1
53,53415.81,227765.68,10,5,1
50,55720.94,159732.8,11,1,0
49,73285.85,95386.62,13,2,0
36,48296.23,134379.52,12,4,0
67,71772.8,98755.87,14,4,0
22,58241.87,171563.77,9,1,0
35,40612.03,40068.14,10,3,1
24,40863.27,70578.24,12,0,0
35,88941.17,147341.4,15,1,1
68,56871.57,193545.39,12,8,1
37,92807.08,5000.0,14,1,0
65,49727.27,202468.27,9,4,0
43,65824.1,111591.89,14,3,1
54,107853.53,6967.5,7,2,1
41,38852.27,5000.0,8,3,1
31,22043.71,28236.84,9,4,0
57,85731.8,118817.71,9,1,0
68,43463.82,116046.12,14,3,1
31,59585.87,157992.03,17,1,1
58,48281.64,87030.77,8,2,0
31,65363.26,53517.57,10,3,1
55,40989.28,95214.82,12,3,0
59,56401.2,122016.62,11,2,0
41,68996.31,133846.37,15,3,1
56,39833.82,72650.12,9,3,0
32,45998.32,174086.8,19,4,1
22,53052.34,82716.19,13,2,1
23,31423.69,67816.96,12,2,1
41,51548.78,87456.51,8,0,1
64,62375.93,184490.41,9,2,0
24,52009.02,112032.21,9,1,0
41,54572.47,78329.19,14,0,1
54,59601.97,175566.47,17,1,0
28,46885.13,248564.91,8,6,1
55,73821.25,132580.96,10,0,1
33,88719.56,194030.55,14,0,1
60,50712.39,182164.68,15,2,1
48,69703.96,83661.61,10,1,1
46,55207.66,121598.05,10,2,1
27,67309.75,43047.32,9,4,1
42,91315.59,107703.46,12,4,0
62,70173.19,82428.58,11,1,0
19,24531.71,95826.84,10,0,0
57,69079.91,75006.3,11,2,1
43,84657.27,102774.19,16,2,1
55,55568.08,151933.96,3,1,1
52,79912.7,112830.49,6,1,0
40,46197.69,8137.61,5,0,1
34,30289.22,75232.77,15,4,1
50,62823.38,28836.04,14,4,1
25,24870.47,134643.61,13,1,1
48,55204.58,150199.04,6,0,1
22,85736.85,135392.89,6,2,0
51,21804.74,72755.74,22,3,0
50,34410.06,134811.24,9,5,1
22,39359.36,91793.14,10,0,0
57,58733.6,51706.47,13,3,0
39,52685.66,164515.8,12,2,0
58,87982.73,169081.67,17,1,0
20,79086.97,176933.73,16,3,1
27,69905.46,83499.08,11,5,1
43,62912.61,190761.74,11,2,1
27,67864.6,90385.06,16,1,0
35,42760.35,159210.08,7,1,0
52,77144.21,89345.24,18,2,0
25,37759.11,106561.07,11,4,1
53,76707.54,5000.0,9,1,0
23,83722.85,101885.21,12,4,1
27,64217.29,125465.4,14,1,1
48,56475.74,95397.02,12,4,1
59,68006.2,225371.28,13,2,0
26,15000.0,50252.03,9,2,0
33,66045.16,86185.13,9,2,1
66,57732.92,65707.64,10,0,0
69,58987.44,86173.38,11,2,1
48,74130.65,181884.78,12,5,1
41,58504.62,208681.91,12,2,0
36,37195.86,77952.44,12,2,0
49,57171.95,76619.55,11,1,1
48,61351.11,50572.28,12,3,1
33,62298.68,198377.12,10,1,0
19,63238.39,187260.26,7,1,1
25,80787.38,113641.09,16,3,1
67,38279.31,36234.05,5,2,1
39,63514.01,41600.25,13,6,1
43,85798.59,130237.77,12,2,1
42,25307.77,152960.28,13,2,0
58,63592.93,5000.0,15,2,0
21,48292.43,100721.41,12,0,0
22,52585.79,217097.75,12,4,0
32,41903.85,106949.45,9,4,0
43,56608.99,209378.29,6,4,0
52,96825.11,158942.77,15,3,0
43,34711.39,54943.22,9,2,1
40,36607.8,102439.72,14,1,1
66,33961.31,112278.35,7,1,1
26,94548.37,62849.31,13,1,1
47,50753.21,61807.92,14,1,1
46,59487.22,210406.12,20,2,1
42,51944.34,61358.36,8,3,1
59,41111.54,184706.16,8,1,1
31,55296.99,93810.93,17,3,1
67,109164.87,118461.64,8,1,1
35,87841.42,153710.67,11,2,0
46,42941.24,84086.48,11,0,1
45,72951.48,154074.26,11,3,1
62,43369.54,5000.0,10,2,0
40,24472.65,146382.44,9,2,0
32,80390.22,5000.0,14,3,0
19,83201.86,106389.2,15,0,1
36,80921.05,171254.58,16,2,0
60,50602.7,157337.72,11,0,1
18,56664.49,42095.37,12,1,0
64,74995.31,49820.14,16,2,1
46,67829.92,78679.68,7,2,1
25,52127.25,131172.95,13,2,0
33,27618.56,5000.0,16,3,1
46,62277.5,119206.59,9,0,0
34,81580.19,138685.76,7,1,1
23,36048.23,103017.77,7,2,1
52,72775.19,151519.26,13,1,1
52,66630.83,133423.45,6,3,0
24,75002.97,87500.74,18,1,1
32,77439.51,5000.0,11,2,0
30,46110.7,128004.78,17,1,1
52,27660.81,62815.48,17,2,1
55,49329.61,85299.44,24,1,0
55,77782.55,148747.45,9,4,1
66,49159.92,205040.0,10,3,1
57,46119.13,117716.39,9,3,1
34,23572.99,153243.89,15,1,0
23,95052.95,33331.24,7,3,0
49,76514.27,134731.41,14,2,0
65,75397.92,116405.64,11,0,1
68,79354.51,193753.65,15,0,0
29,71534.17,87572.49,8,3,0
30,55113.42,105501.74,17,3,1
19,56724.72,183528.87,14,2,1
25,51448.71,114477.97,16,3,0
46,112694.82,53469.52,10,1,0
46,71118.24,273098.0,9,3,0
37,50723.99,55284.43,13,0,0
34,69309.94,116118.0,21,1,1
61,39782.62,140801.29,15,2,1
41,90090.13,136057.05,12,5,1
60,46778.62,108615.38,14,2,1
68,70021.71,108914.38,12,2,0
34,81319.55,105904.09,16,2,1
28,67695.37,53043.97,13,1,1
67,61889.4,249013.15,5,2,1
51,60216.04,106800.54,9,5,1
33,58871.18,155815.86,14,0,0
50,48466.03,99920.83,22,4,1
44,51010.33,98714.18,10,1,0
65,89591.81,92673.38,12,1,1
31,57829.27,27009.25,7,4,1
69,44284.07,110362.73,14,2,0
66,49674.05,95579.54,12,1,1
27,82007.41,190291.47,13,3,1
26,73512.13,48197.99,10,4,0
45,71206.58,85371.17,11,3,0
20,54849.58,66093.57,7,1,1
33,71467.25,206551.82,9,5,1
40,47128.78,67835.49,8,4,0
68,54807.72,153737.99,15,0,0
69,79396.09,178209.69,8,1,0
25,77485.55,111232.63,15,2,1
64,40361.8,37391.34,15,0,1
22,42889.47,38150.77,11,3,1
56,62174.04,171585.84,9,3,0
61,94522.65,44364.36,11,3,1
64,21688.7,143521.6,12,3,1
29,65566.66,126860.95,7,1,1
64,32479.13,142627.95,11,0,0
24,47313.38,148295.09,10,1,1
44,52711.43,63979.75,18,3,0
42,51589.83,61468.31,18,3,1
34,49324.08,162895.63,8,7,0
19,60144.14,82239.32,10,3,1
58,49294.89,5000.0,5,3,0
35,30750.85,158925.32,8,3,0
52,75597.39,57824.32,14,2,0
39,75057.44,148028.15,8,3,0
37,76863.49,203569.31,10,2,1
64,29185.31,121005.75,10,3,1
22,65978.36,179745.95,14,2,0
56,73519.58,129227.86,9,2,0
56,39375.96,215245.76,10,0,0
37,60183.46,56273.57,10,0,0
31,57674.67,119507.1,10,4,1
18,96843.01,160389.7,12,5,0
66,98489.92,108575.29,15,0,1
67,26712.87,189133.14,8,5,0
30,109878.54,94077.63,11,3,1
19,41695.49,244162.27,8,1,1
24,79613.47,247331.85,9,1,1
21,79409.96,136924.32,6,3,1
61,40086.2,153156.07,9,0,0
64,69865.36,191500.29,14,4,0
25,57849.33,48768.16,17,5,0
56,71086.6,41280.0,11,1,1
27,64613.45,195385.13,15,3,1
37,83926.79,136439.31,11,1,1
49,61507.99,106409.69,13,4,1
55,56642.52,120667.4,13,3,1
63,81921.28,5000.0,14,3,0
20,71607.92,108566.26,11,3,1
28,74636.27,74817.2,13,2,1
32,46708.27,175084.3,12,3,1
34,39094.74,179701.85,6,4,1
69,48645.56,154600.81,11,1,0
58,47583.57,143727.52,11,2,0
34,75723.99,30159.2,12,3,1
68,79519.68,155438.58,10,4,1
43,56897.39,157763.88,13,2,0
44,88618.38,194711.56,11,3,1
40,87369.39,247092.59,11,2,1
25,64867.98,18446.36,12,1,0
66,43562.16,96691.39,11,2,1
18,91507.53,75464.0,16,3,1
27,58779.65,130350.43,13,1,0
29,62523.3,120804.11,14,2,0
32,53207.9,105955.08,9,1,1
24,42204.19,181656.26,13,1,1
18,30627.21,53915.15,16,1,0
53,72657.37,57532.71,13,3,1
68,44331.98,58546.48,13,3,1
24,121190.62,98380.34,11,1,1
33,38278.53,46284.59,13,2,1
44,34852.35,117085.71,15,2,0
66,70202.77,110070.59,13,2,0
54,90586.27,72809.09,10,3,1
57,61291.79,172425.98,21,1,0
48,71444.85,116429.97,14,1,1
39,23129.05,183758.84,14,2,1
28,46449.77,108297.01,16,3,1
62,38527.69,118548.31,18,3,0
59,22099.08,86233.06,16,1,1
19,62339.6,119577.21,14,3,1
55,15143.45,162733.88,14,0,1
22,33556.08,95319.95,4,1,0
56,49256.12,151104.72,11,1,1
60,43374.28,71235.18,12,0,0
24,67928.17,165543.03,13,3,1
40,66111.6,85205.65,13,2,0
24,77875.97,171100.79,9,2,0
47,75047.67,123658.59,9,1,1
66,82816.26,211257.22,12,1,0
22,59961.63,50755.94,10,2,0
38,66069.34,31429.39,10,0,0
68,70230.27,83026.97,16,5,0
33,62833.13,36923.34,16,2,0
24,52056.11,37035.91,11,4,1
43,53351.15,157293.05,7,1,1
44,43648.83,119749.27,16,1,0
52,68432.34,91219.14,18,0,0
34,58119.7,96782.24,11,1,0
67,46736.52,84165.74,17,1,0
45,46755.1,219022.15,9,1,1
32,35792.03,75869.66,9,2,0
67,79576.83,40671.97,10,1,1
66,61572.35,167763.04,8,1,1
43,42744.0,107054.66,10,2,1
19,76170.95,242326.42,17,1,0
49,48791.02,88427.66,12,3,0
46,31869.99,170759.05,15,2,0
25,80424.45,184931.84,10,3,0
50,49258.06,88719.85,13,0,0
61,51822.02,75424.75,14,3,1
23,60823.6,164481.99,12,2,1
55,82851.78,154493.52,19,2,0
25,60400.75,35363.39,11,1,1
56,36017.66,52293.86,10,1,0
39,70877.54,5000.0,13,4,1
18,50300.21,155723.21,13,4,1
68,97758.48,104290.37,12,4,1
26,59977.61,110270.97,12,3,0
48,15299.29,18513.35,10,4,0
27,67147.3,54113.86,13,3,1
66,98891.96,91322.47,12,7,1
56,91518.41,79660.46,12,3,0
59,96619.09,127070.16,11,1,1
40,39604.8,155008.09,10,4,1
42,78243.05,256176.75,10,0,1
50,45560.11,118798.98,9,4,0
58,64485.79,186924.16,11,5,1
62,34540.95,70201.63,13,0,0
18,47110.88,19503.22,11,3,1
52,46475.07,98861.9,9,4,1
23,77971.11,24136.7,12,4,0
32,76014.38,120880.39,20,3,1
61,65536.39,73172.75,14,2,0
31,32991.57,5000.0,10,2,1
59,53767.21,224161.51,11,4,0
42,45077.67,87746.3,16,0,1
30,77393.52,21742.84,18,2,0
35,83563.7,173890.31,9,2,0
45,81127.71,76283.14,11,2,0
57,44895.61,185409.96,9,2,0
49,15000.0,75996.34,10,4,1
66,24660.76,87546.14,9,1,0
63,88432.54,140689.9,11,3,1
57,51974.9,155593.16,12,1,1
49,44985.51,166109.02,14,3,0
33,92853.21,114615.53,9,3,1
39,85303.2,151717.0,13,2,0
24,60488.97,164737.72,11,1,1
37,54131.94,132034.15,11,2,0
66,57357.98,111440.51,10,1,1
40,64543.26,33282.3,9,2,1
23,92000.95,155950.45,11,0,0
51,68449.35,122530.42,11,4,0
68,74520.58,95183.05,14,5,1
63,83385.4,196665.98,15,1,0
32,36606.48,34329.98,14,0,0
41,75097.24,218642.18,12,3,1
45,54108.62,118663.6,10,0,0
30,15000.0,139051.09,10,2,1
31,17436.61,96297.35,19,0,1
30,39637.65,19975.63,4,1,0
69,70624.46,111623.41,16,2,1
56,62275.99,140084.69,5,1,0
61,63687.33,160573.53,11,3,1
60,99018.87,108118.01,7,0,1
67,34618.21,5000.0,9,3,0
23,59451.33,27500.32,11,2,1
63,66088.71,243121.18,15,1,1
21,45274.54,54447.84,14,2,0
42,60566.53,205622.97,13,2,1
48,28001.01,63954.8,11,2,1
36,88198.12,109052.65,10,5,1
25,46367.71,157512.5,13,1,0
27,100628.0,70788.33,7,5,1
60,59350.51,215532.91,11,4,1
34,80561.07,124543.7,10,1,1
34,58933.94,147651.05,6,3,1
66,59385.12,103943.58,8,1,1
25,48319.41,159523.22,14,2,0
65,62382.48,214727.56,11,1,0
65,66359.97,112122.84,12,2,1
49,44314.83,223782.77,10,2,1
26,57499.11,83304.25,9,2,1
26,47798.02,165845.76,11,1,1
32,105993.28,149346.86,9,2,1
48,58205.38,55885.08,9,2,1
25,90904.64,132828.58,10,2,1
41,56087.55,120441.96,12,1,0
24,65185.75,68808.47,19,1,1
46,33572.72,141480.15,10,2,1
19,51058.55,128777.37,13,2,0
54,64210.69,115644.78,12,3,0
20,91720.08,115885.35,23,1,0
28,64439.66,114599.38,15,2,1
27,87674.41,97938.02,8,3,1
61,72814.58,128390.05,15,2,1
20,92548.03,81365.15,16,3,1
40,58819.16,279408.57,18,2,0
48,107804.45,35440.01,15,2,0
44,50292.08,84915.84,11,2,1
53,44670.76,89655.47,15,3,1
59,35798.94,242429.6,16,3,1
38,106620.49,40791.92,19,3,0
61,76388.95,145555.34,13,0,0
34,53317.59,134903.64,14,1,0
69,84980.45,140016.14,11,0,0
44,73753.84,194180.59,15,0,1
56,99322.55,192949.76,9,1,1
63,29043.34,92942.59,13,0,0
59,54692.8,131641.05,12,1,0
62,50749.57,8153.88,16,0,0
45,20526.35,125945.58,6,1,0
20,81206.54,72360.63,16,0,0
43,54592.07,108817.05,10,2,1
27,74792.62,18877.69,8,2,0
64,107195.44,144292.34,11,2,1
30,52935.13,18205.88,16,2,1
29,51576.94,128897.08,15,3,0
30,62373.28,46409.66,15,2,0
51,79744.95,69021.54,13,4,1
47,48665.74,189283.93,7,6,1
67,47380.77,155275.08,21,3,1
39,81143.79,188952.19,9,2,0
32,67572.79,213583.63,12,2,1
20,19105.43,73629.68,9,3,0
18,35492.16,209938.3,10,4,1
37,90024.72,32069.66,14,1,0
66,68038.57,164766.02,10,3,1
45,44756.08,90399.74,20,3,0
64,56591.81,64181.99,23,1,0
23,60264.73,156868.19,10,0,1
22,74714.67,176697.09,9,2,1
61,32834.73,174916.1,9,4,1
23,43181.02,132891.59,13,2,1
20,65459.12,127917.44,9,3,0
39,58003.31,151612.0,13,4,1
66,71437.18,138225.84,11,2,1
53,35409.85,152481.35,11,3,1
23,67142.57,132239.97,9,5,1
61,81831.67,170567.03,20,3,1
61,69736.37,22367.53,11,3,1
59,62782.23,112123.59,16,0,1
64,58082.33,36969.21,13,4,1
30,43302.98,136602.12,6,0,0
68,58560.03,218515.81,13,3,0
34,85194.12,91554.91,16,5,1
59,57619.43,127635.12,12,2,1
48,42203.92,165389.2,14,3,0
58,50155.06,5000.0,8,1,1
50,64017.01,88673.37,11,3,1
51,52529.72,141870.94,8,1,0
50,69706.07,5000.0,14,1,0
58,70456.88,61391.49,8,3,0
56,77779.66,186051.48,7,4,1
24,88471.19,180179.81,11,2,0
60,79917.17,142459.09,11,1,1
45,41315.22,172931.86,17,0,0
34,41929.31,132906.25,17,1,1
44,58484.57,153323.69,10,3,1
68,50976.49,101060.78,14,2,1
62,37233.47,126948.76,12,1,1
61,51166.16,82057.78,11,2,0
42,50509.74,195809.0,6,1,0
58,46563.05,211293.56,14,3,0
38,53684.21,202794.77,12,1,0
53,83569.02,95513.47,10,3,1
51,63984.76,62773.56,13,2,1
30,109436.18,196618.42,8,3,1
31,63410.16,152634.43,13,3,1
21,54198.68,139715.06,7,2,0
25,60082.66,81982.07,16,2,1
40,65129.84,145539.83,11,0,0
42,68705.08,54883.32,10,1,0
26,101534.23,158043.74,11,2,0
39,43093.59,202733.2,11,4,0
49,77180.92,217862.73,16,1,1
30,64155.01,162511.44,15,0,1
35,28578.05,37078.71,15,5,0
37,75413.98,131839.81,21,2,1
44,85352.47,248380.9,11,1,0
37,42856.47,67883.3,13,4,0
56,59821.32,116449.11,17,5,0
35,25492.91,204811.46,7,2,1
40,34823.87,157028.04,11,3,1
37,80960.59,268809.38,12,0,0
27,50671.67,76027.84,11,2,1
53,37823.94,60614.65,7,2,0
30,64589.21,193447.53,13,1,0
33,49551.75,48247.28,11,3,1
59,50583.57,108193.92,11,2,1
67,74786.52,116061.21,17,2,0
52,36765.33,182159.37,9,2,0
65,41892.7,156856.08,7,2,1
62,63081.6,147423.89,14,1,0
43,79388.2,95854.15,10,2,0
58,84763.21,192900.24,17,1,0
35,46698.77,361549.44,13,2,0
41,78747.54,161476.93,14,4,1
45,44317.15,125980.33,15,1,0
67,96524.19,42128.22,13,4,1
62,37324.58,81751.11,15,0,1
43,86569.58,107177.39,9,2,1
51,46870.28,87923.99,13,1,1
28,100264.93,119035.33,19,4,1
59,71826.41,226680.96,11,1,0
46,39679.67,194830.02,7,1,1
45,49555.23,110470.04,14,4,1
57,75623.62,47503.2,17,0,1
50,81052.89,200242.06,15,0,0
21,58585.69,117056.74,14,1,0
32,60893.17,16409.97,14,2,0
27,75167.06,162745.81,13,1,0
56,62635.97,181541.2,8,2,0
19,34129.9,5000.0,10,1,1
28,43740.52,70526.72,14,2,1
49,64702.4,113372.76,14,1,1
54,84309.65,164070.65,18,0,1
44,92319.65,89055.2,13,4,0
62,75590.59,70071.49,9,1,0
65,65745.82,163630.15,9,3,1
24,74976.28,91900.66,10,0,0
67,46664.98,152523.28,13,1,0
49,56935.38,53309.06,9,1,0
51,43517.39,38860.02,14,2,0
22,35025.15,165316.15,8,0,1
50,66670.98,135151.19,19,0,0
55,63710.27,175347.34,15,1,0
48,73753.05,88044.42,16,1,1
22,70922.24,72293.68,12,1,1
45,64852.89,201643.13,9,1,0
66,71132.33,28622.47,14,4,1
55,59146.34,195087.64,16,2,1
25,68257.83,199230.28,17,5,0
67,45477.11,171605.37,9,4,1
67,67394.12,78731.55,18,3,0
26,73368.35,71008.57,18,1,1
59,46606.37,107396.65,17,3,0
39,61036.64,42297.62,14,4,0
48,47527.95,62298.36,13,2,1
41,49469.87,158684.06,13,4,1
58,37501.41,158960.95,4,1,1
69,85315.5,57025.51,13,0,1
59,81313.7,160567.32,10,3,1
66,70748.68,147258.2,17,1,1
67,99443.92,210593.18,8,2,1
22,56215.09,154148.19,10,3,0
31,120635.25,183514.86,13,2,0
55,55449.41,148624.66,17,1,0
48,65103.87,178795.75,12,3,1
20,52044.44,42772.97,3,3,0
22,67446.51,112695.33,5,2,1
45,76712.3,117661.03,16,2,0
50,57721.67,105375.0,14,0,1
26,95534.4,146633.2,16,0,0
26,64782.99,158062.78,10,2,1
24,65409.71,143535.42,15,1,1
47,41820.05,109383.37,12,1,1
18,68369.98,75856.2,8,2,1
47,57319.46,185831.16,10,3,1
42,47835.21,140983.97,9,6,1
42,44470.51,58883.17,9,3,1
53,113435.27,108378.75,6,3,1
45,54730.45,15402.02,9,4,0
55,30860.29,122122.24,10,2,0
57,46035.57,108097.2,10,3,1
65,58968.64,85531.98,10,2,0
59,70933.34,215076.01,11,3,1
44,71095.93,50630.75,18,2,1
43,73532.29,162383.58,14,1,0
30,47102.79,251202.49,9,2,1
49,66808.81,184636.07,17,1,0
25,42478.81,118107.67,16,1,0
66,47607.14,51955.88,12,2,0
61,41645.82,38276.27,24,0,0
24,36232.22,95306.9,10,2,1
58,81284.19,78779.96,10,2,0
24,73772.23,76827.19,4,1,1
55,79533.31,100421.19,14,3,1
22,60786.26,113865.17,8,2,0
43,75536.15,149112.72,12,4,1
52,24774.21,45732.23,12,1,0
55,77261.75,79065.37,16,1,0
39,63542.4,110419.68,13,2,1
65,72542.19,108270.89,13,0,0
58,67600.47,230185.42,17,3,1
28,40258.9,133934.8,14,2,0
52,30039.2,23184.61,14,1,0
55,45758.92,145090.88,18,2,0
35,71298.35,152739.82,14,2,0
56,73801.83,112492.32,7,0,0
64,32641.15,47196.2,13,4,0
60,40378.01,225483.28,10,2,1
57,45535.29,55806.97,9,0,0
50,52853.9,159646.33,12,2,1
32,32758.98,132003.03,12,1,0
59,31558.96,156048.63,12,0,0
36,43563.29,222411.48,16,2,0
45,61725.08,153698.33,9,2,0
34,36388.11,86480.15,8,2,0
34,57683.93,186359.54,6,1,0
26,81171.06,82134.03,14,2,0
67,33964.41,129813.48,13,3,1
25,55871.08,42414.98,14,1,1
22,80495.13,58003.13,18,3,0
66,51634.63,123083.2,13,1,0
46,48526.61,142085.2,9,1,1
40,83269.92,17856.56,14,1,0
56,53875.96,149837.24,16,5,1
37,82089.9,70834.26,14,1,1
24,68579.31,196781.28,10,3,1
55,53143.11,98882.13,14,3,1
27,69593.81,52582.66,8,2,0
46,66408.99,124548.27,15,2,1
67,80417.66,65025.9,10,1,1
66,49033.09,196136.71,9,3,1
36,60824.12,120031.81,13,5,0
58,58769.69,110899.4,15,1,1
49,74082.96,155508.06,12,2,0
42,39496.42,59703.15,9,2,1
25,80339.54,42650.78,15,1,1
37,69326.58,144501.09,9,2,0
51,33661.5,54019.76,12,4,1
69,84165.26,53999.39,15,1,0
18,104681.86,170205.36,12,2,0
55,80036.68,151503.85,16,1,1
